,Unnamed: 0.1,Unnamed: 0,Wavelength,Ruby Intensity,Wavelength(nm),No Ruby Intensity,Transmission,Intensity_measurement_error,Transmission_error
70,70,70,378.448,118.84,378.448,160.94,0.73841183,0.01,0.73841+/-0.00008
71,71,71,378.664,109.28,378.664,132.95,0.821963144,0.01,0.82196+/-0.00010
72,72,72,378.881,96.31,378.881,148.65,0.647897746,0.01,0.64790+/-0.00008
73,73,73,379.097,76.51,379.097,161.62,0.473394382,0.01,0.47339+/-0.00007
74,74,74,379.314,150.92,379.314,182.1,0.828775398,0.01,0.82878+/-0.00007
75,75,75,379.53,119.52,379.53,167.08,0.715345942,0.01,0.71535+/-0.00007
76,76,76,379.747,112.01,379.747,147.97,0.756977766,0.01,0.75698+/-0.00008
77,77,77,379.963,114.74,379.963,144.55,0.793773781,0.01,0.79377+/-0.00009
78,78,78,380.18,144.78,380.18,108.37,1.335978592,0.01,1.33598+/-0.00015
79,79,79,380.396,127.71,380.396,195.07,0.654688061,0.01,0.65469+/-0.00006
80,80,80,380.613,106.55,380.613,168.45,0.632531909,0.01,0.63253+/-0.00007
81,81,81,380.829,119.52,380.829,193.02,0.619210445,0.01,0.61921+/-0.00006
82,82,82,381.045,176.86,381.045,163.67,1.08058899,0.01,1.08059+/-0.00009
83,83,83,381.262,109.28,381.262,126.12,0.866476372,0.01,0.86648+/-0.00010
84,84,84,381.478,155.02,381.478,195.07,0.794689086,0.01,0.79469+/-0.00007
85,85,85,381.695,106.55,381.695,152.74,0.697590677,0.01,0.69759+/-0.00008
86,86,86,381.911,142.05,381.911,189.61,0.749169348,0.01,0.74917+/-0.00007
87,87,87,382.127,89.48,382.127,167.08,0.535551831,0.01,0.53555+/-0.00007
88,88,88,382.344,141.37,382.344,213.5,0.662154567,0.01,0.66215+/-0.00006
89,89,89,382.56,146.15,382.56,147.97,0.98770021,0.01,0.98770+/-0.00009
90,90,90,382.776,111.33,382.776,143.19,0.777498429,0.01,0.77750+/-0.00009
91,91,91,382.992,109.96,382.992,198.48,0.55401048,0.01,0.55401+/-0.00006
92,92,92,383.209,133.86,383.209,222.38,0.601942621,0.01,0.60194+/-0.00005
93,93,93,383.425,133.17,383.425,181.42,0.734042553,0.01,0.73404+/-0.00007
94,94,94,383.641,175.5,383.641,180.73,0.971061805,0.01,0.97106+/-0.00008
95,95,95,383.858,165.26,383.858,184.15,0.897420581,0.01,0.89742+/-0.00007
96,96,96,384.074,105.19,384.074,172.54,0.609655732,0.01,0.60966+/-0.00007
97,97,97,384.29,134.54,384.29,154.79,0.869177595,0.01,0.86918+/-0.00009
98,98,98,384.506,126.35,384.506,169.13,0.747058476,0.01,0.74706+/-0.00007
99,99,99,384.722,117.47,384.722,178.0,0.65994382,0.01,0.65994+/-0.00007
100,100,100,384.939,148.88,384.939,177.32,0.839612001,0.01,0.83961+/-0.00007
101,101,101,385.155,164.58,385.155,217.6,0.756341912,0.01,0.75634+/-0.00006
102,102,102,385.371,167.31,385.371,230.57,0.725636466,0.01,0.72564+/-0.00005
103,103,103,385.587,168.67,385.587,205.99,0.818826157,0.01,0.81883+/-0.00006
104,104,104,385.803,120.89,385.803,229.88,0.525883069,0.01,0.52588+/-0.00005
105,105,105,386.019,147.51,386.019,177.32,0.831885856,0.01,0.83189+/-0.00007
106,106,106,386.235,142.05,386.235,229.2,0.619764398,0.01,0.61976+/-0.00005
107,107,107,386.452,145.46,386.452,225.79,0.644226937,0.01,0.64423+/-0.00005
108,108,108,386.668,213.73,386.668,231.93,0.921528047,0.01,0.92153+/-0.00006
109,109,109,386.884,172.77,386.884,244.9,0.705471621,0.01,0.70547+/-0.00005
110,110,110,387.1,166.63,387.1,228.52,0.729170313,0.01,0.72917+/-0.00005
111,111,111,387.316,165.26,387.316,214.87,0.76911621,0.01,0.76912+/-0.00006
112,112,112,387.532,189.15,387.532,244.9,0.772356064,0.01,0.77236+/-0.00005
113,113,113,387.748,195.3,387.748,226.47,0.862365876,0.01,0.86237+/-0.00006
114,114,114,387.964,185.74,387.964,240.81,0.771313484,0.01,0.77131+/-0.00005
115,115,115,388.18,174.82,388.18,265.38,0.658753486,0.01,0.65875+/-0.00005
116,116,116,388.396,197.34,388.396,258.56,0.763227104,0.01,0.76323+/-0.00005
117,117,117,388.612,176.86,388.612,247.63,0.714210718,0.01,0.71421+/-0.00005
118,118,118,388.828,170.04,388.828,231.93,0.733152244,0.01,0.73315+/-0.00005
119,119,119,389.044,152.97,389.044,233.98,0.653773827,0.01,0.65377+/-0.00005
120,120,120,389.26,196.66,389.26,244.9,0.803021641,0.01,0.80302+/-0.00005
121,121,121,389.476,177.55,389.476,242.85,0.731109739,0.01,0.73111+/-0.00005
122,122,122,389.692,161.85,389.692,279.72,0.578614329,0.01,0.57861+/-0.00004
123,123,123,389.908,152.29,389.908,231.25,0.658551351,0.01,0.65855+/-0.00005
124,124,124,390.123,194.61,390.123,258.56,0.752668626,0.01,0.75267+/-0.00005
125,125,125,390.339,203.49,390.339,298.15,0.682508804,0.01,0.68251+/-0.00004
126,126,126,390.555,182.33,390.555,289.96,0.62881087,0.01,0.62881+/-0.00004
127,127,127,390.771,186.42,390.771,280.4,0.664835949,0.01,0.66484+/-0.00004
128,128,128,390.987,211.68,390.987,285.86,0.740502344,0.01,0.74050+/-0.00004
129,129,129,391.203,178.23,391.203,241.49,0.738042983,0.01,0.73804+/-0.00005
130,130,130,391.419,177.55,391.419,254.46,0.697752102,0.01,0.69775+/-0.00005
131,131,131,391.634,179.6,391.634,227.15,0.79066696,0.01,0.79067+/-0.00006
132,132,132,391.85,230.79,391.85,259.92,0.887927054,0.01,0.88793+/-0.00005
133,133,133,392.066,195.98,392.066,266.07,0.736573082,0.01,0.73657+/-0.00005
134,134,134,392.282,140.0,392.282,255.83,0.547238401,0.01,0.54724+/-0.00004
135,135,135,392.497,214.41,392.497,306.34,0.699908598,0.01,0.69991+/-0.00004
136,136,136,392.713,258.1,392.713,285.86,0.902889526,0.01,0.90289+/-0.00005
137,137,137,392.929,223.97,392.929,304.98,0.734376025,0.01,0.73438+/-0.00004
138,138,138,393.145,208.27,393.145,257.87,0.80765502,0.01,0.80766+/-0.00005
139,139,139,393.36,194.61,393.36,282.45,0.689006904,0.01,0.68901+/-0.00004
140,140,140,393.576,206.22,393.576,296.78,0.694858144,0.01,0.69486+/-0.00004
141,141,141,393.792,216.46,393.792,248.32,0.871697809,0.01,0.87170+/-0.00005
142,142,142,394.008,202.81,394.008,267.43,0.758366675,0.01,0.75837+/-0.00005
143,143,143,394.223,223.97,394.223,277.67,0.806604963,0.01,0.80660+/-0.00005
144,144,144,394.439,207.58,394.439,349.35,0.594189209,0.01,0.594189+/-0.000033
145,145,145,394.655,197.34,394.655,325.46,0.606341793,0.01,0.60634+/-0.00004
146,146,146,394.87,207.58,394.87,315.9,0.657106679,0.01,0.65711+/-0.00004
147,147,147,395.086,218.51,395.086,296.1,0.737960149,0.01,0.73796+/-0.00004
148,148,148,395.301,210.32,395.301,289.28,0.72704646,0.01,0.72705+/-0.00004
149,149,149,395.517,258.1,395.517,365.73,0.705711864,0.01,0.705712+/-0.000033
150,150,150,395.733,242.4,395.733,347.3,0.697955658,0.01,0.697956+/-0.000035
151,151,151,395.948,190.52,395.948,269.48,0.706991242,0.01,0.70699+/-0.00005
152,152,152,396.164,281.99,396.164,321.36,0.87748942,0.01,0.87749+/-0.00004
153,153,153,396.379,207.58,396.379,345.94,0.600046251,0.01,0.600046+/-0.000034
154,154,154,396.595,235.57,396.595,347.3,0.678289663,0.01,0.678290+/-0.000035
155,155,155,396.81,236.26,396.81,320.68,0.736746913,0.01,0.73675+/-0.00004
156,156,156,397.026,228.75,397.026,341.16,0.670506507,0.01,0.670507+/-0.000035
157,157,157,397.241,233.53,397.241,337.06,0.692844004,0.01,0.69284+/-0.00004
158,158,158,397.457,230.79,397.457,323.41,0.713614298,0.01,0.71361+/-0.00004
159,159,159,397.672,234.89,397.672,367.1,0.639852901,0.01,0.639853+/-0.000032
160,160,160,397.888,278.58,397.888,328.19,0.848837564,0.01,0.84884+/-0.00004
161,161,161,398.103,202.81,398.103,384.85,0.526984539,0.01,0.526985+/-0.000029
162,162,162,398.319,243.08,398.319,355.49,0.683788574,0.01,0.683789+/-0.000034
163,163,163,398.534,262.88,398.534,363.0,0.724187328,0.01,0.724187+/-0.000034
164,164,164,398.75,251.96,398.75,336.38,0.749033831,0.01,0.74903+/-0.00004
165,165,165,398.965,235.57,398.965,346.62,0.679620334,0.01,0.679620+/-0.000035
166,166,166,399.18,269.02,399.18,355.49,0.756758277,0.01,0.756758+/-0.000035
167,167,167,399.396,262.88,399.396,347.3,0.756924849,0.01,0.75692+/-0.00004
168,168,168,399.611,206.9,399.611,346.62,0.596907276,0.01,0.596907+/-0.000034
169,169,169,399.826,228.75,399.826,386.9,0.591238046,0.01,0.591238+/-0.000030
170,170,170,400.042,237.62,400.042,374.61,0.634313019,0.01,0.634313+/-0.000032
171,171,171,400.257,242.4,400.257,350.71,0.691169342,0.01,0.691169+/-0.000035
172,172,172,400.472,266.98,400.472,373.24,0.715303826,0.01,0.715304+/-0.000033
173,173,173,400.688,279.26,400.688,350.03,0.79781733,0.01,0.79782+/-0.00004
174,174,174,400.903,234.89,400.903,421.71,0.556994143,0.01,0.556994+/-0.000027
175,175,175,401.118,275.17,401.118,422.39,0.651459552,0.01,0.651460+/-0.000028
176,176,176,401.334,225.33,401.334,371.88,0.605921265,0.01,0.605921+/-0.000031
177,177,177,401.549,245.81,401.549,405.33,0.606444132,0.01,0.606444+/-0.000029
178,178,178,401.764,299.06,401.764,432.63,0.69126043,0.01,0.691260+/-0.000028
179,179,179,401.979,254.69,401.979,399.18,0.638032968,0.01,0.638033+/-0.000030
180,180,180,402.195,288.14,402.195,405.33,0.710877557,0.01,0.710878+/-0.000030
181,181,181,402.41,308.62,402.41,434.0,0.711105991,0.01,0.711106+/-0.000028
182,182,182,402.625,267.66,402.625,449.02,0.596098169,0.01,0.596098+/-0.000026
183,183,183,402.84,275.17,402.84,440.14,0.62518744,0.01,0.625187+/-0.000027
184,184,184,403.055,259.47,403.055,408.06,0.635862373,0.01,0.635862+/-0.000029
185,185,185,403.271,256.05,403.271,446.29,0.573730086,0.01,0.573730+/-0.000026
186,186,186,403.486,256.05,403.486,423.76,0.604233528,0.01,0.604234+/-0.000028
187,187,187,403.701,277.22,403.701,459.26,0.60362322,0.01,0.603623+/-0.000025
188,188,188,403.916,302.47,403.916,406.01,0.744981651,0.01,0.744982+/-0.000031
189,189,189,404.131,307.25,404.131,447.65,0.686362113,0.01,0.686362+/-0.000027
190,190,190,404.346,322.27,404.346,472.91,0.681461589,0.01,0.681462+/-0.000026
191,191,191,404.561,279.26,404.561,477.01,0.58543846,0.01,0.585438+/-0.000024
192,192,192,404.776,333.88,404.776,456.53,0.731342957,0.01,0.731343+/-0.000027
193,193,193,404.991,310.67,404.991,446.29,0.696116875,0.01,0.696117+/-0.000027
194,194,194,405.207,346.16,405.207,446.97,0.774459136,0.01,0.774459+/-0.000028
195,195,195,405.422,273.12,405.422,488.61,0.558973414,0.01,0.558973+/-0.000023
196,196,196,405.637,313.4,405.637,517.97,0.605054347,0.01,0.605054+/-0.000023
197,197,197,405.852,278.58,405.852,454.48,0.612964267,0.01,0.612964+/-0.000026
198,198,198,406.067,299.06,406.067,509.09,0.587440335,0.01,0.587440+/-0.000023
199,199,199,406.282,294.28,406.282,485.88,0.60566395,0.01,0.605664+/-0.000024
200,200,200,406.497,295.65,406.497,515.92,0.573053962,0.01,0.573054+/-0.000022
201,201,201,406.712,322.27,406.712,468.81,0.687421343,0.01,0.687421+/-0.000026
202,202,202,406.927,322.27,406.927,535.71,0.601575479,0.01,0.601575+/-0.000022
203,203,203,407.141,287.46,407.141,444.92,0.64609368,0.01,0.646094+/-0.000027
204,204,204,407.356,316.13,407.356,500.9,0.631123977,0.01,0.631124+/-0.000024
205,205,205,407.571,343.43,407.571,518.65,0.662161381,0.01,0.662161+/-0.000023
206,206,206,407.786,307.25,407.786,511.14,0.601107329,0.01,0.601107+/-0.000023
207,207,207,408.001,274.48,408.001,503.63,0.545003276,0.01,0.545003+/-0.000023
208,208,208,408.216,318.17,408.216,522.06,0.609451021,0.01,0.609451+/-0.000022
209,209,209,408.431,315.44,408.431,516.6,0.61060782,0.01,0.610608+/-0.000023
210,210,210,408.646,309.98,408.646,567.8,0.545931666,0.01,0.545932+/-0.000020
211,211,211,408.861,376.2,408.861,529.57,0.710387673,0.01,0.710388+/-0.000023
212,212,212,409.075,344.12,409.075,575.99,0.597440928,0.01,0.597441+/-0.000020
213,213,213,409.29,331.15,409.29,557.56,0.593927111,0.01,0.593927+/-0.000021
214,214,214,409.505,336.61,409.505,549.37,0.612720025,0.01,0.612720+/-0.000021
215,215,215,409.72,329.78,409.72,542.54,0.607844583,0.01,0.607845+/-0.000022
216,216,216,409.935,337.97,409.935,564.39,0.598823509,0.01,0.598824+/-0.000021
217,217,217,410.15,309.3,410.15,547.32,0.565117299,0.01,0.565117+/-0.000021
218,218,218,410.364,342.75,410.364,567.8,0.60364565,0.01,0.603646+/-0.000021
219,219,219,410.579,380.3,410.579,569.85,0.667368606,0.01,0.667369+/-0.000021
220,220,220,410.794,331.83,410.794,636.75,0.521130742,0.01,0.521131+/-0.000018
221,221,221,411.009,370.06,411.009,612.85,0.603834544,0.01,0.603835+/-0.000019
222,222,222,411.223,327.05,411.223,610.81,0.535436551,0.01,0.535437+/-0.000019
223,223,223,411.438,321.59,411.438,608.08,0.528861334,0.01,0.528861+/-0.000019
224,224,224,411.653,329.1,411.653,619.68,0.531080558,0.01,0.531081+/-0.000018
225,225,225,411.867,361.86,411.867,612.85,0.590454434,0.01,0.590454+/-0.000019
226,226,226,412.082,314.08,412.082,587.6,0.534513274,0.01,0.534513+/-0.000019
227,227,227,412.297,334.56,412.297,596.47,0.560899961,0.01,0.560900+/-0.000019
228,228,228,412.511,394.63,412.511,646.3,0.610598793,0.01,0.610599+/-0.000018
229,229,229,412.726,333.88,412.726,649.04,0.514421299,0.01,0.514421+/-0.000017
230,230,230,412.941,379.61,412.941,697.5,0.544243728,0.01,0.544244+/-0.000016
231,231,231,413.155,372.79,413.155,635.38,0.586719758,0.01,0.586720+/-0.000018
232,232,232,413.37,346.85,413.37,672.93,0.515432512,0.01,0.515433+/-0.000017
233,233,233,413.584,363.23,413.584,652.45,0.55671699,0.01,0.556717+/-0.000018
234,234,234,413.799,384.39,413.799,687.26,0.559307977,0.01,0.559308+/-0.000017
235,235,235,414.014,437.64,414.014,697.5,0.62744086,0.01,0.627441+/-0.000017
236,236,236,414.228,404.19,414.228,674.98,0.598817743,0.01,0.598818+/-0.000017
237,237,237,414.443,340.7,414.443,645.62,0.527709798,0.01,0.527710+/-0.000018
238,238,238,414.657,352.99,414.657,683.85,0.516180449,0.01,0.516180+/-0.000016
239,239,239,414.872,408.97,414.872,664.05,0.615872299,0.01,0.615872+/-0.000018
240,240,240,415.086,416.48,415.086,694.77,0.599450178,0.01,0.599450+/-0.000017
241,241,241,415.301,406.24,415.301,733.0,0.554215553,0.01,0.554216+/-0.000016
242,242,242,415.515,419.21,415.515,709.79,0.590611308,0.01,0.590611+/-0.000016
243,243,243,415.73,387.12,415.73,737.78,0.524709263,0.01,0.524709+/-0.000015
244,244,244,415.944,422.62,415.944,738.46,0.572299109,0.01,0.572299+/-0.000016
245,245,245,416.158,380.98,416.158,678.39,0.561594363,0.01,0.561594+/-0.000017
246,246,246,416.373,427.4,416.373,778.06,0.549314963,0.01,0.549315+/-0.000015
247,247,247,416.587,401.46,416.587,748.7,0.53620943,0.01,0.536209+/-0.000015
248,248,248,416.802,399.41,416.802,750.75,0.532014652,0.01,0.532015+/-0.000015
249,249,249,417.016,430.13,417.016,756.21,0.568797027,0.01,0.568797+/-0.000015
250,250,250,417.23,390.54,417.23,718.67,0.543420485,0.01,0.543420+/-0.000016
251,251,251,417.445,397.36,417.445,712.52,0.557682591,0.01,0.557683+/-0.000016
252,252,252,417.659,447.2,417.659,761.67,0.58713091,0.01,0.587131+/-0.000015
253,253,253,417.874,466.99,417.874,799.22,0.5843072,0.01,0.584307+/-0.000014
254,254,254,418.088,444.47,418.088,758.26,0.58617097,0.01,0.586171+/-0.000015
255,255,255,418.302,480.65,418.302,823.11,0.583943823,0.01,0.583944+/-0.000014
